entity	int
Q337377	382
Q18631600	383
Q981788	384
Q11081	385
Q15825471	386
Q219714	387
Q205033	388
Q247869	389
Q11701	390
Q1408	391
Q320484	392
Q3297873	393
Q429050	394
Q1062280	395
Q13974	396
Q114264	397
Q36159	398
Q1196431	399
Q65	400
Q3277465	401
Q483379	402
Q94831	403
Q3157332	404
Q720027	405
Q219602	406
Q746830	407
Q2843705	408
Q3172032	409
Q9050707	410
Q112915	411
Q936190	412
Q7459509	413
Q196185	414
Q180950	415
Q7304859	416
Q10608114	417
Q57313601	418
Q43874	419
Q13979	420
Q1546	421
Q959451	422
Q166032	423
Q2766	424
Q20007086	425
Q48493	426
Q11466	427
Q1192310	428
Q936661	429
Q3369361	430
Q3028907	431
Q5070058	432
Q3992490	433
Q193692	434
Q2759586	435
Q861206	436
Q1163715	437
Q848352	438
Q5875771	439
Q170581	440
Q233510	441
Q1475603	442
Q512119	443
Q668642	444
Q14950651	445
Q5048309	446
Q6451434	447
Q1857407	448
Q1537	449
Q1425378	450
Q365882	451
Q17060160	452
Q7414	453
Q39046747	454
Q206859	455
Q12147	456
Q111168	457
Q49085	458
Q38952	459
Q174923	460
Q461469	461
Q59555084	462
Q653251	463
Q20090644	464
Q340	465
Q39259	466
Q1922067	467
Q191615	468
Q1558	469
Q11201	470
Q5131553	471
Q5214234	472
Q272059	473
Q2865008	474
Q772304	475
Q7925401	476
Q1070684	477
Q7759597	478
Q12057690	479
Q39709	480
Q6064618	481
Q465597	482
Q2877626	483
Q39398	484
Q568723	485
Q28170697	486
Q183476	487
Q7702149	488
Q2014922	489
Q7759594	490
Q383260	491
Q221878	492
Q918224	493
Q3077088	494
Q81965	495
Q114	496
Q19879826	497
Q147077	498
Q873	499
Q3366864	500
Q131439	501
Q27650	502
Q223	503
Q105584	504
Q1925718	505
Q3502886	506
Q1570423	507
Q491132	508
Q1363408	509
Q467752	510
Q196105	511
Q206297	512
Q186125	513
Q15262098	514
Q162954	515
Q164177	516
Q62	517
Q2276408	518
Q948442	519
Q351	520
Q604141	521
Q30113	522
Q2881660	523
Q60987711	524
Q8071888	525
Q7442150	526
Q108861	527
Q373491	528
Q7824333	529
Q20630554	530
Q161238	531
Q984327	532
Q1146532	533
Q4740236	534
Q1073891	535
Q26590	536
Q187954	537
Q271880	538
Q13133	539
Q39804	540
Q22958459	541
Q7205279	542
Q14375933	543
Q3090378	544
Q214700	545
Q1384	546
Q367523	547
Q7322	548
Q49246	549
Q55604490	550
Q906754	551
Q13909	552
Q8337	553
Q462	554
Q1204	555
Q7080909	556
Q16241314	557
Q365150	558
Q4743783	559
Q41819	560
Q486472	561
Q861764	562
Q1581	563
Q40469	564
Q128581	565
Q44380	566
Q58416634	567
Q36669	568
Q16845154	569
Q1431781	570
Q7377586	571
Q1338	572
Q918	573
Q221626	574
Q56809073	575
Q21067205	576
Q21621498	577
Q4744007	578
Q36153	579
Q16209626	580
Q33659	581
Q35657	582
Q6758302	583
Q6127917	584
Q727	585
Q483915	586
Q696852	587
Q44437	588
Q1093629	589
Q743309	590
Q5552563	591
Q49247	592
Q1553390	593
Q39	594
Q35919	595
Q100	596
Q208099	597
Q32491	598
Q3130	599
Q43297	600
Q23844	601
Q295340	602
Q273256	603
Q3826815	604
Q1125149	605
Q46	606
Q548733	607
Q869	608
Q1626077	609
Q19510	610
Q18438	611
Q2922711	612
Q2465468	613
Q485176	614
Q206364	615
Q57339590	616
Q3876006	617
Q6506294	618
Q786705	619
Q4749380	620
Q168992	621
Q18013	622
Q7389710	623
Q38	624
Q38022	625
Q1543066	626
Q155	627
Q1654116	628
Q3719	629
Q796	630
Q1530	631
Q8458	632
Q16849914	633
Q379689	634
Q3305843	635
Q3827874	636
Q18419	637
Q13371	638
Q2118270	639
Q13959	640
Q232646	641
Q715156	642
Q359	643
Q23556	644
Q9584	645
Q192814	646
Q3958008	647
Q213205	648
Q320476	649
Q15935	650
Q767499	651
Q43380	652
Q18151589	653
Q378341	654
Q7291489	655
Q830621	656
Q1809448	657
Q217525	658
Q55606843	659
Q16149402	660
Q193159	661
Q159	662
Q16558	663
Q4653502	664
Q49042	665
Q1066858	666
Q504998	667
Q191485	668
Q599573	669
Q1391	670
Q6905708	671
Q717897	672
Q1456	673
Q193458	674
Q434706	675
Q846570	676
Q57867737	677
Q1342	678
Q371781	679
Q19872249	680
Q460173	681
Q7204	682
Q637413	683
Q862439	684
Q16554	685
Q10244	686
Q1261	687
Q2668654	688
Q1756139	689
Q13424289	690
Q121194	691
Q37230	692
Q213417	693
Q27020041	694
Q282617	695
Q955034	696
Q38712878	697
Q5461782	698
Q22212	699
Q739092	700
Q18159104	701
Q223514	702
Q186545	703
Q12630	704
Q2331889	705
Q8092	706
Q647404	707
Q7995607	708
Q27107024	709
Q17715099	710
Q912994	711
Q5245925	712
Q7888194	713
Q180589	714
Q22	715
Q29545	716
Q572134	717
Q348618	718
Q131364	719
Q39367	720
Q232465	721
Q943091	722
Q3828143	723
Q14950655	724
Q830669	725
Q771	726
Q2760311	727
Q2920489	728
Q12223	729
Q178810	730
Q14130	731
Q11399	732
Q1811737	733
Q2367175	734
Q1370	735
Q6789172	736
Q3731533	737
Q914069	738
Q1070669	739
Q7955494	740
Q20205127	741
Q80042	742
Q33959	743
Q4740796	744
Q661199	745
Q1139917	746
Q8040258	747
Q28453693	748
Q152207	749
Q8676	750
Q1235731	751
Q6952794	752
Q5031026	753
Q44107	754
Q7191	755
Q3099714	756
Q76	757
Q7184	758
Q1415	759
Q729478	760
Q1079140	761
Q49152	762
Q41470	763
Q349375	764
Q490732	765
Q199853	766
Q23572	767
Q19664817	768
Q131371	769
Q1393123	770
Q16228087	771
Q1151959	772
Q454328	773
Q4014532	774
Q6889079	775
Q37116	776
Q7173106	777
Q483269	778
Q1543025	779
Q1262052	780
Q985299	781
Q576872	782
Q752941	783
Q121765	784
Q32522	785
Q34436	786
Q189490	787
Q37628	788
Q215546	789
Q201052	790
Q20983703	791
Q34086	792
Q202833	793
Q12439	794
Q7896630	795
Q4679094	796
Q5496752	797
Q768621	798
Q44989	799
Q1649	800
Q1215892	801
Q211872	802
Q48485	803
Q7430	804
Q108436	805
Q12054162	806
Q714179	807
Q868612	808
Q782	809
Q797	810
Q17884	811
Q27436	812
Q7493954	813
Q747915	814
Q3880200	815
Q1210094	816
Q53536	817
Q4646993	818
Q19020	819
Q3045312	820
Q63315506	821
Q41179	822
Q748	823
Q48	824
Q1156320	825
Q16235654	826
Q848103	827
Q431248	828
Q2299611	829
Q2623066	830
Q16568	831
Q67	832
Q876323	833
Q1057110	834
Q1334384	835
Q25212133	836
Q1087811	837
Q1227	838
Q29641937	839
Q49197	840
Q18383	841
Q69319	842
Q21707860	843
Q1329523	844
Q5261460	845
Q2842874	846
Q34404	847
Q7010719	848
Q2345115	849
Q777698	850
Q4001235	851
Q190050	852
Q29154550	853
Q1379733	854
Q203059	855
Q7312525	856
Q4949980	857
Q3156794	858
Q1207	859
Q16556	860
Q1195942	861
Q3191480	862
Q3191538	863
Q585329	864
Q3567630	865
Q179049	866
Q434859	867
Q203008	868
Q631758	869
Q860626	870
Q500992	871
Q6483918	872
Q2432455	873
Q5461440	874
Q819982	875
Q166481	876
Q2153459	877
Q918195	878
Q108093	879
Q108499	880
Q58912	881
Q186896	882
Q60851987	883
Q5094466	884
Q6837794	885
Q259514	886
Q1297	887
Q2842604	888
Q658427	889
Q185059	890
Q777728	891
Q622899	892
Q528145	893
Q1091543	894
Q154510	895
Q29052440	896
Q4960894	897
Q19848	898
Q1820137	899
Q5422628	900
Q4151335	901
Q44063	902
Q54958411	903
Q216221	904
Q1823140	905
Q1321962	906
Q48938223	907
Q490737	908
Q1527	909
Q3688975	910
Q6483322	911
Q27919885	912
Q491340	913
Q6781300	914
Q172271	915
Q188575	916
Q2048307	917
Q2367409	918
Q1663627	919
Q1088765	920
Q178581	921
Q18175508	922
Q1982556	923
Q7572903	924
Q2877005	925
Q60565417	926
Q23548	927
Q335357	928
Q16559	929
Q16992933	930
Q39681	931
Q49194	932
Q5165853	933
Q3808704	934
Q1811669	935
Q583085	936
Q337758	937
Q824	938
Q6106	939
Q184587	940
Q461595	941
Q3065498	942
Q1057258	943
Q3546021	944
Q7978510	945
Q252	946
Q483046	947
Q482458	948
Q2444013	949
Q1280022	950
Q203223	951
Q7768695	952
Q483507	953
Q759	954
Q26436159	955
Q1229470	956
Q97	957
Q7846084	958
Q25263	959
Q182868	960
Q8652	961
Q44903	962
Q193753	963
Q3339833	964
Q24084745	965
Q1053145	966
Q49147	967
Q7005468	968
Q308889	969
Q1714165	970
Q4412	971
Q889	972
Q1032	973
Q16565	974
Q211382	975
Q26720726	976
Q1154724	977
Q190618	978
Q1636604	979
Q1047699	980
Q1317	981
Q277633	982
Q2852014	983
Q933	984
Q2	985
Q26	986
Q56166	987
Q3310476	988
Q1763921	989
Q313381	990
Q220499	991
Q38222	992
Q532423	993
Q242446	994
Q7154794	995
Q18379784	996
Q1845	997
Q9916	998
Q642707	999
Q183	1000
Q41148	1001
Q166105	1002
Q7011384	1003
Q5194	1004
Q1223	1005
Q6834757	1006
Q1414246	1007
Q560164	1008
Q1094245	1009
Q721634	1010
Q1505803	1011
Q951872	1012
Q20075	1013
Q839769	1014
Q2740768	1015
Q7347	1016
Q37936461	1017
Q2087596	1018
Q94	1019
Q1205312	1020
Q1058722	1021
Q81799	1022
Q843	1023
Q31683	1024
Q486877	1025
Q1588	1026
Q301965	1027
Q327634	1028
Q128831	1029
Q130879	1030
Q27049069	1031
Q6132508	1032
Q147651	1033
Q530920	1034
Q7396971	1035
Q2963340	1036
Q364884	1037
Q25278	1038
Q137341	1039
Q2943368	1040
Q945056	1041
Q314319	1042
Q122232	1043
Q203736	1044
Q6346	1045
Q12070759	1046
Q90	1047
Q6837288	1048
Q42726338	1049
Q2924461	1050
Q825291	1051
Q126399	1052
Q6451223	1053
Q18575	1054
Q5287	1055
Q258	1056
Q7533339	1057
Q212648	1058
Q333859	1059
Q11223	1060
Q66	1061
Q276525	1062
Q186304	1063
Q6788934	1064
Q3442463	1065
Q212329	1066
Q5589762	1067
Q7413997	1068
Q41	1069
Q1770710	1070
Q128069	1071
Q1183	1072
Q4854706	1073
Q2094335	1074
Q916113	1075
Q230156	1076
Q4200400	1077
Q28127443	1078
Q1486480	1079
Q5107742	1080
Q978569	1081
Q19144178	1082
Q6986519	1083
Q1464994	1084
Q786	1085
Q431944	1086
Q6460028	1087
Q5221629	1088
Q1815011	1089
Q1647788	1090
Q164134	1091
Q2685	1092
Q5137620	1093
Q10738	1094
Q456321	1095
Q211760	1096
Q80252	1097
Q539493	1098
Q7230500	1099
Q15265888	1100
Q161337	1101
Q716316	1102
Q24572734	1103
Q6829140	1104
Q822614	1105
Q503308	1106
Q4966764	1107
Q250767	1108
Q844837	1109
Q33	1110
Q517545	1111
Q1299	1112
Q653368	1113
Q2698008	1114
Q5162259	1115
Q660297	1116
Q209833	1117
Q9684	1118
Q44329	1119
Q4992164	1120
Q1339558	1121
Q692417	1122
Q1042743	1123
Q625178	1124
Q229367	1125
Q871329	1126
Q937	1127
Q2356220	1128
Q470362	1129
Q20	1130
Q1067148	1131
Q852607	1132
Q40096	1133
Q158957	1134
Q80046	1135
Q37175	1136
Q14295	1137
Q174769	1138
Q123737	1139
Q559392	1140
Q18097962	1141
Q391359	1142
Q14544	1143
Q18921924	1144
Q6685652	1145
Q2931052	1146
Q5569037	1147
Q5109590	1148
Q49227	1149
Q409832	1150
Q631194	1151
Q52	1152
Q49238	1153
Q152239	1154
Q7426688	1155
Q219067	1156
Q4653492	1157
Q16226012	1158
Q66096	1159
Q7444360	1160
Q7542295	1161
Q1070749	1162
Q6369948	1163
Q182415	1164
Q128269	1165
Q1138235	1166
Q1387	1167
Q54264	1168
Q12124779	1169
Q8026356	1170
Q229430	1171
Q180453	1172
Q131433	1173
Q56651173	1174
Q16201195	1175
Q1614849	1176
Q6141080	1177
Q583725	1178
Q52715014	1179
Q40059201	1180
Q37836	1181
Q41421	1182
Q352159	1183
Q290922	1184
Q49158	1185
Q32396	1186
Q2452162	1187
Q5321351	1188
Q1281335	1189
Q778	1190
Q911463	1191
Q5340737	1192
Q7803192	1193
Q5262352	1194
Q604879	1195
Q1106511	1196
Q217776	1197
Q39075157	1198
Q11424	1199
Q18814	1200
Q212064	1201
Q111516	1202
Q18157619	1203
Q27985672	1204
Q13977	1205
Q8461	1206
Q8049272	1207
Q5243831	1208
Q800071	1209
Q108067	1210
Q19716893	1211
Q5020422	1212
Q887010	1213
Q7785792	1214
Q16235029	1215
Q5132210	1216
Q94958	1217
Q1415887	1218
Q7540067	1219
Q169889	1220
Q1211	1221
Q223769	1222
Q1904	1223
Q929859	1224
Q994144	1225
Q334	1226
Q963227	1227
Q25098896	1228
Q3116233	1229
Q5547695	1230
Q23685	1231
Q219353	1232
Q2283	1233
Q6709502	1234
Q51697	1235
Q3154693	1236
Q1981690	1237
Q208233	1238
Q6952928	1239
Q23337	1240
Q42504	1241
Q3177118	1242
Q4654049	1243
Q4914	1244
Q9696	1245
Q29422	1246
Q212991	1247
Q27809653	1248
Q612	1249
Q548278	1250
Q594128	1251
Q315271	1252
Q232414	1253
Q738377	1254
Q2910549	1255
Q7713845	1256
Q1126370	1257
Q13233	1258
Q7166431	1259
Q1143333	1260
Q14950689	1261
Q794	1262
Q16147495	1263
Q1640118	1264
Q1136654	1265
Q644430	1266
Q41254	1267
Q48890	1268
Q207360	1269
Q183492	1270
Q254255	1271
Q75	1272
Q447710	1273
Q22787181	1274
Q8731	1275
Q780442	1276
Q49145	1277
Q18389	1278
Q327012	1279
Q43044	1280
Q164782	1281
Q208072	1282
Q825946	1283
Q462354	1284
Q2680	1285
Q9531	1286
Q29443	1287
Q2280045	1288
Q286707	1289
Q16232225	1290
Q6063925	1291
Q59465	1292
Q17004742	1293
Q22007163	1294
Q35594	1295
Q252550	1296
Q29643	1297
Q13205	1298
Q362	1299
Q32277	1300
Q277924	1301
Q7747	1302
Q49389	1303
Q265852	1304
Q2938067	1305
Q14932650	1306
Q207385	1307
Q3120992	1308
Q1830767	1309
Q1773949	1310
Q111	1311
Q5944264	1312
Q16499823	1313
Q3713655	1314
Q94967	1315
Q3343570	1316
Q984544	1317
Q7934109	1318
Q16224594	1319
Q163749	1320
Q5131208	1321
Q808207	1322
Q29045915	1323
Q3224	1324
Q923429	1325
Q36074	1326
Q837109	1327
Q107146	1328
Q7185589	1329
Q929985	1330
Q650840	1331
Q112403	1332
Q23881720	1333
Q3183299	1334
Q8203794	1335
Q3058650	1336
Q123210	1337
Q55223040	1338
Q169165	1339
Q410892	1340
Q316997	1341
Q5774966	1342
Q4941248	1343
Q509255	1344
Q8025339	1345
Q1524184	1346
Q1073121	1347
Q1057736	1348
Q501542	1349
Q2704462	1350
Q6906133	1351
Q217533	1352
Q362824	1353
Q2451482	1354
Q4863417	1355
Q1792998	1356
Q4752572	1357
Q155922	1358
Q2192	1359
Q11288478	1360
Q779	1361
Q18426	1362
Q570116	1363
Q185140	1364
Q755206	1365
Q5455414	1366
Q200535	1367
Q372657	1368
Q2485904	1369
Q127910	1370
Q266917	1371
Q48773396	1372
Q1689111	1373
Q108101	1374
Q1066807	1375
Q1065241	1376
Q3070	1377
Q829	1378
Q1041704	1379
Q234709	1380
Q150248	1381
Q19877365	1382
Q161380	1383
Q9592	1384
Q108047	1385
Q38418	1386
Q5255733	1387
Q220072	1388
Q145	1389
Q50410954	1390
Q165219	1391
Q168383	1392
Q56653505	1393
Q219	1394
Q472	1395
Q57641	1396
Q28	1397
Q1781	1398
Q795660	1399
Q948129	1400
Q863812	1401
Q11699	1402
Q38051551	1403
Q19880297	1404
Q358108	1405
Q45	1406
Q1186457	1407
Q6122597	1408
Q5389	1409
Q181278	1410
Q494466	1411
Q5255734	1412
Q2739748	1413
Q2323511	1414
Q640388	1415
Q16878201	1416
Q762121	1417
Q1438754	1418
Q684740	1419
Q766	1420
Q1286	1421
Q23239	1422
Q1156982	1423
Q4956792	1424
Q2031485	1425
Q291831	1426
Q1086712	1427
Q4898286	1428
Q601669	1429
Q28022144	1430
Q25025241	1431
Q322787	1432
Q18022139	1433
Q506098	1434
Q2304163	1435
Q24009805	1436
Q7182789	1437
Q5329064	1438
Q531599	1439
Q211040	1440
Q1124	1441
Q7365461	1442
Q6118028	1443
Q696775	1444
Q53097	1445
Q36008	1446
Q3237798	1447
Q10566551	1448
Q17110888	1449
Q920422	1450
Q19667275	1451
Q667738	1452
Q35476	1453
Q20800404	1454
Q1810383	1455
Q310637	1456
Q860790	1457
Q458	1458
Q24733929	1459
Q2133309	1460
Q3302590	1461
Q126661	1462
Q6285018	1463
Q28218	1464
Q498276	1465
Q1844938	1466
Q1550193	1467
Q1492	1468
Q4992018	1469
Q1345445	1470
Q1420	1471
Q3500791	1472
Q508577	1473
Q239411	1474
Q1465915	1475
Q2298921	1476
Q2035701	1477
Q18631507	1478
Q215057	1479
Q1029968	1480
Q2233932	1481
Q1208454	1482
Q1069698	1483
Q1185675	1484
Q648501	1485
Q739550	1486
Q319654	1487
Q16731303	1488
Q1319988	1489
Q693032	1490
Q28271	1491
Q139289	1492
Q115	1493
Q1146039	1494
Q7902372	1495
Q2698927	1496
Q3539951	1497
Q7786129	1498
Q42912909	1499
Q2892166	1500
Q18643692	1501
Q19666923	1502
Q21286612	1503
Q5585845	1504
Q871928	1505
Q6503389	1506
Q230728	1507
Q7288307	1508
Q355522	1509
Q6049269	1510
Q5947646	1511
Q104123	1512
Q7861187	1513
Q11220	1514
Q11690	1515
Q163820	1516
Q689141	1517
Q54064	1518
Q24861	1519
Q60233577	1520
Q380613	1521
Q3564690	1522
Q328473	1523
Q2840	1524
Q7957641	1525
Q6789115	1526
Q39231	1527
Q201656	1528
Q1107989	1529
Q7316299	1530
Q40993	1531
Q173496	1532
Q2987371	1533
Q80069	1534
Q313311	1535
Q181185	1536
Q1516578	1537
Q37158	1538
Q4496	1539
Q4773350	1540
Q16235922	1541
Q371118	1542
Q3014697	1543
Q26405845	1544
Q5265872	1545
Q993575	1546
Q600751	1547
Q3564859	1548
Q498024	1549
Q6214354	1550
Q980040	1551
Q1146444	1552
Q1192805	1553
Q1814260	1554
Q230733	1555
Q905026	1556
Q1242804	1557
Q10856569	1558
Q463632	1559
Q836	1560
Q5211382	1561
Q1542222	1562
Q188984	1563
Q18708728	1564
Q207980	1565
Q1153176	1566
Q753950	1567
Q755271	1568
Q217810	1569
Q6136509	1570
Q31489	1571
Q5577	1572
Q631752	1573
Q193755	1574
Q667727	1575
Q1494	1576
Q159729	1577
Q456730	1578
Q298573	1579
Q192751	1580
Q24725640	1581
Q16224877	1582
Q368554	1583
Q934866	1584
Q489793	1585
Q6815857	1586
Q60702330	1587
Q173941	1588
Q465469	1589
Q504309	1590
Q309256	1591
Q163263	1592
Q487999	1593
Q851	1594
Q438406	1595
Q498034	1596
Q7589612	1597
Q636684	1598
Q604393	1599
Q778412	1600
Q11817	1601
Q8612	1602
Q131252	1603
Q93191	1604
Q218503	1605
Q142369	1606
Q10348331	1607
Q735267	1608
Q944845	1609
Q21621996	1610
Q73633	1611
Q6838340	1612
Q18421895	1613
Q1058864	1614
Q3105215	1615
Q15180	1616
Q6451271	1617
Q56094	1618
Q1022767	1619
Q248713	1620
Q4354877	1621
Q56703337	1622
Q6336833	1623
Q10068	1624
Q27535	1625
Q1324340	1626
Q49236	1627
Q5161550	1628
Q1987393	1629
Q319642	1630
Q526406	1631
Q2859108	1632
Q486168	1633
Q29415	1634
Q7705775	1635
Q2748566	1636
Q20871878	1637
Q650445	1638
Q2988807	1639
Q3065651	1640
Q11673	1641
Q2347975	1642
Q128424	1643
Q5294332	1644
Q18043692	1645
Q42165049	1646
Q971998	1647
Q83287	1648
Q3746581	1649
Q14951456	1650
Q5046569	1651
Q1799442	1652
Q706686	1653
Q228787	1654
Q54621943	1655
Q1345	1656
Q28005470	1657
Q2301213	1658
Q7294939	1659
Q280596	1660
Q2901023	1661
Q277036	1662
Q3766	1663
Q152831	1664
Q12707	1665
Q41984	1666
Q329891	1667
Q349391	1668
Q240233	1669
Q191874	1670
Q23879686	1671
Q3319685	1672
Q19877775	1673
Q577478	1674
Q1480013	1675
Q132905	1676
Q501053	1677
Q4791461	1678
Q3174614	1679
Q201633	1680
Q11218	1681
Q242345	1682
Q34389	1683
Q7707730	1684
Q8686	1685
Q7822309	1686
Q8027332	1687
Q283207	1688
Q1615	1689
Q6927130	1690
Q1983924	1691
Q5604	1692
Q53758999	1693
Q789915	1694
Q8685	1695
Q58174397	1696
Q7822000	1697
Q1561837	1698
Q17130715	1699
Q11005	1700
Q6063	1701
Q974	1702
Q4890594	1703
Q847743	1704
Q7949446	1705
Q511849	1706
Q11661	1707
Q1435969	1708
Q24060908	1709
Q36215	1710
Q918225	1711
Q4917622	1712
Q1636819	1713
Q9188	1714
Q44440	1715
Q7054606	1716
Q1130850	1717
Q2789106	1718
Q506489	1719
Q7956182	1720
Q669904	1721
Q8057159	1722
Q8563951	1723
Q7114153	1724
Q6657537	1725
Q1359568	1726
Q1493728	1727
Q7956269	1728
Q7542	1729
Q36091	1730
Q3041697	1731
Q2524302	1732
Q43890449	1733
Q3394132	1734
Q54276	1735
Q60750304	1736
Q30099997	1737
Q28237	1738
Q94150	1739
Q2263	1740
Q1275768	1741
Q7013133	1742
Q636207	1743
Q188874	1744
Q48815152	1745
Q1101597	1746
Q511684	1747
Q946865	1748
Q8740	1749
Q845060	1750
Q675070	1751
Q128109	1752
Q121783	1753
Q2453601	1754
Q1259114	1755
Q2822885	1756
Q536705	1757
Q38300756	1758
Q7082345	1759
Q7669786	1760
Q858430	1761
Q12003	1762
Q1119538	1763
Q15913539	1764
Q3449768	1765
Q572143	1766
Q2840240	1767
Q27438121	1768
Q5014725	1769
Q13361286	1770
Q483325	1771
Q207	1772
Q4826532	1773
Q16555	1774
Q7562033	1775
Q678	1776
Q128849	1777
Q7949648	1778
Q5272601	1779
Q16885836	1780
Q863259	1781
Q361	1782
Q5167099	1783
Q1741	1784
Q8683	1785
Q485172	1786
Q230492	1787
Q739792	1788
Q717	1789
Q1764511	1790
Q1784180	1791
Q80034	1792
